,City,Country,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,Date and Time
176,Hami,CN,42.84,6.58,52,32,2.91,1546957003
177,Constitucion,MX,23.99,39.2,86,40,1.01,1546955400
178,Saskylakh,RU,71.97,-35.59,0,20,10.51,1546957004
179,Esperance,TT,10.24,84.2,58,40,13.87,1546956000
180,Lazaro Cardenas,MX,28.39,44.6,65,75,3.36,1546954980
181,Nikolskoye,RU,59.7,26.6,92,90,8.95,1546956000
182,Sahuaripa,MX,29.05,48.88,87,80,1.9,1546957005
183,Kamina,CD,-8.74,72.33,96,56,6.93,1546957006
184,Mogadishu,SO,2.04,80.6,74,90,16.11,1546952400
185,Nantucket,US,41.28,38.05,88,90,12.75,1546955700
186,Mitsamiouli,KM,-11.38,86.0,70,40,6.93,1546956000
187,Liberal,US,37.04,28.8,81,1,6.93,1546954500
188,Mayumba,GA,-3.44,79.98,100,64,6.15,1546957008
189,Bure,NG,10.52,77.0,15,12,10.29,1546952400
190,Holme,GB,53.7,45.84,75,0,14.99,1546955400
191,Adrar,DZ,27.87,68.0,15,0,13.87,1546952400
192,Ada,US,47.3,13.12,66,75,27.51,1546955760
193,La Rioja,AR,-29.41,86.86,48,0,6.15,1546956912
194,Provideniya,RU,64.42,6.63,100,64,32.66,1546957009
195,Muros,ES,42.77,50.85,62,0,9.17,1546954200
196,Telde,ES,27.99,68.0,60,20,5.82,1546954200
197,Guerrero Negro,MX,27.97,44.92,87,0,3.13,1546957010
198,Tomatlan,MX,19.93,67.29,83,8,2.24,1546957010
199,Avarua,CK,-21.21,68.0,82,20,2.24,1546956000
200,Junnar,IN,19.21,57.61,67,0,2.57,1546957011
201,Iranshahr,IR,27.21,71.6,37,0,6.93,1546956000
202,Bahia Blanca,AR,-38.72,79.48,46,12,14.43,1546956869
203,Rocha,UY,-34.48,83.26,79,0,8.16,1546957012
204,Klaksvik,FO,62.23,37.4,64,56,13.87,1546955400
205,Thompson,CA,55.74,5.0,77,90,13.87,1546952400
206,Skibotn,NO,69.39,31.12,92,90,12.75,1546955400
207,San Rafael del Sur,NI,11.85,77.0,73,20,11.41,1546956000
208,Caravelas,BR,-17.73,80.65,99,36,10.74,1546957013
209,Buala,SB,-8.15,77.77,100,56,5.14,1546957013
210,Leningradskiy,RU,69.38,-6.83,76,0,21.14,1546957013
211,Victoria,BN,5.28,83.39,88,75,6.93,1546956000
212,Sokoto,NG,13.06,81.91,22,48,11.74,1546957014
213,Moerai,PF,-22.43,76.29,100,8,8.16,1546957014
214,Chokurdakh,RU,70.62,-21.64,32,64,8.05,1546957015
215,Bathsheba,BB,13.22,82.4,58,20,18.34,1546956000
216,Port Elizabeth,US,39.31,40.8,100,90,6.93,1546955760
217,Sorong,ID,-0.86,81.01,100,76,13.87,1546957015
218,Castro,CL,-42.48,53.6,66,40,12.75,1546956000
219,Neiafu,TO,-18.65,80.6,94,75,13.87,1546956000
220,Zemio,CF,5.02,82.41,57,8,4.7,1546957016
221,Revda,RU,67.94,10.95,87,68,2.57,1546957016
222,Dombarovskiy,RU,50.76,-5.26,68,0,4.81,1546957017
223,Karpushikha,RU,57.5,5.73,72,88,10.18,1546957017
224,Tommot,RU,58.97,-2.11,66,64,2.35,1546957017
225,Sun Valley,US,43.7,2.97,61,90,11.41,1546955520
226,Upernavik,GL,72.79,0.87,100,76,13.09,1546956990
227,Nanortalik,GL,60.14,33.63,93,92,15.21,1546957018
228,Galesong,ID,-5.32,77.0,100,20,2.24,1546956000
229,Paranaiba,BR,-19.68,91.72,55,12,4.14,1546957019
230,Shitkino,RU,56.37,23.64,73,92,10.4,1546957019
231,East London,ZA,-33.02,73.4,78,75,9.17,1546956000
232,Novyy Urengoy,RU,66.08,-15.02,67,48,6.71,1546957019
233,Bambous Virieux,MU,-20.34,82.4,83,75,12.75,1546956000
234,Lagoa,PT,37.14,60.8,67,0,10.29,1546954200
235,Axim,GH,4.87,83.17,99,36,9.84,1546957020
236,Hambantota,LK,6.12,82.4,83,75,10.29,1546953000
237,Dudinka,RU,69.41,-10.93,72,48,8.72,1546957021
238,San Jose,PH,15.79,71.34,79,8,3.91,1546957022
239,Tabou,CI,4.42,82.81,100,24,8.95,1546957022
240,Rognan,NO,67.1,33.8,97,75,19.46,1546955400
241,Buraydah,SA,26.33,69.8,56,40,9.17,1546952400
242,Kindu,CD,-2.95,82.86,71,24,2.68,1546957022
243,Mildmay,CA,44.04,35.16,94,48,8.39,1546957023
244,Lasa,CY,34.92,54.19,50,40,25.28,1546954200
245,Morondava,MG,-20.3,86.5,79,48,7.94,1546957023
246,Touros,BR,-5.2,80.6,88,75,5.82,1546956000
247,Raudeberg,NO,61.99,37.38,80,75,16.11,1546955400
248,Aleksandro-Nevskiy,RU,53.48,6.9,86,48,8.16,1546957024
249,Souillac,FR,45.6,48.2,100,90,13.87,1546954200
250,Keti Bandar,PK,24.14,72.01,94,0,8.95,1546957024
251,Cururupu,BR,-1.82,83.76,79,92,7.27,1546957025
252,Tobermory,CA,45.25,40.06,93,68,10.96,1546957025
253,Sassandra,CI,4.95,83.13,99,8,9.62,1546957026
254,Boljevac,RS,43.83,30.2,46,0,1.12,1546956000
255,Quito,EC,-0.22,59.0,82,75,3.36,1546956000
256,Wajir,KE,1.75,98.6,18,20,8.05,1546956000
257,Saurimo,AO,-9.66,80.6,54,75,4.7,1546952400
258,Lircay,PE,-12.99,52.89,30,20,2.35,1546957027
259,Puerto Colombia,CO,10.99,78.8,83,75,6.93,1546956000
260,Nagydorog,HU,46.62,33.81,83,88,10.74,1546957028
261,Norman Wells,CA,65.28,-38.21,72,40,2.91,1546953960
262,Longyearbyen,NO,78.22,17.6,67,20,14.99,1546955400
263,Greeneville,US,36.16,53.06,62,90,3.36,1546955700
264,Katsuura,JP,33.93,46.4,49,20,21.92,1546956000
265,Shalinskoye,RU,55.72,22.87,78,80,10.74,1546957029
266,Vila Velha,BR,-3.71,80.6,78,75,9.17,1546956000
267,Montepuez,MZ,-13.13,81.78,80,56,7.72,1546957030
268,Talaya,RU,55.79,10.4,85,0,11.18,1546956000
269,Pisco,PE,-13.71,71.6,30,0,3.36,1546956000
270,Sangar,RU,63.92,-40.85,0,0,3.36,1546957030
271,Kodiak,US,39.95,38.17,75,1,16.11,1546955700
272,Lovozero,RU,68.01,10.95,87,68,2.57,1546957031
273,Tezpur,IN,26.62,51.99,87,0,2.68,1546957031
274,Grindavik,IS,63.84,40.06,93,90,27.51,1546956000
275,Xinmin,CN,42.0,5.0,50,0,4.47,1546954200
276,Pryozerne,UA,49.42,20.26,79,90,13.42,1546956000
277,Richards Bay,ZA,-28.77,82.81,66,64,5.7,1546957032
278,Sobolevo,RU,54.43,11.4,88,76,11.41,1546957032
279,Sola,FI,62.78,24.8,92,90,2.24,1546955400
280,Kavaratti,IN,10.57,81.6,100,0,3.13,1546956842
281,Fairbanks,US,64.84,-25.75,73,90,3.02,1546955880
282,Mestec Kralove,CZ,50.21,41.49,80,20,17.22,1546955160
283,Palmer,US,61.6,3.81,82,90,3.36,1546955880
284,Glushkovo,RU,51.34,3.25,64,48,4.25,1546957033
285,Port Augusta,AU,-32.49,68.0,77,90,21.92,1546952400
286,Ailigandi,PA,9.23,79.89,83,48,3.91,1546957034
287,Yar-Sale,RU,66.83,-7.15,91,56,3.58,1546957034
288,Goderich,CA,43.74,37.36,92,48,10.74,1546957034
289,Dondo,MZ,-19.62,82.4,74,75,5.93,1546956000
290,Tonantins,BR,-2.86,74.85,100,92,3.13,1546957035
291,Codrington,AU,-28.95,71.6,73,92,1.12,1546956000
292,Juneau,US,58.3,21.34,88,90,5.93,1546955580
293,Mykhaylivka,UA,47.27,21.2,100,0,2.24,1546956000
294,Saint-Augustin,FR,44.83,50.0,93,90,10.29,1546954200
295,Sept-Iles,CA,50.2,1.4,54,75,10.29,1546952400
296,Shimoda,JP,34.7,46.4,100,75,13.87,1546955520
297,Kimbe,PG,-5.56,77.55,100,80,1.34,1546957036
298,San,ML,13.3,89.7,18,24,8.61,1546956902
299,San Jeronimo,PE,-13.65,53.6,46,40,8.05,1546956000
300,Grenaa,DK,56.42,37.4,93,80,20.8,1546955400
301,Itoman,JP,26.12,62.2,72,75,13.87,1546956000
302,Timbiqui,CO,2.77,79.3,91,44,4.03,1546956832
303,Los Llanos de Aridane,ES,28.66,68.0,60,20,5.82,1546954200
304,Maicao,CO,11.38,82.81,66,0,16.44,1546957038
305,Abu Samrah,SY,35.3,44.34,95,88,12.75,1546957038
306,Tecpan,GT,14.76,59.0,77,0,11.41,1546956000
307,Khuzdar,PK,27.8,52.48,53,0,5.26,1546956840
308,Lai,CN,27.82,24.18,55,0,1.57,1546957038
309,Sipe Sipe,BO,-17.45,65.49,40,8,0.78,1546957039
310,Dzhebariki-Khaya,RU,62.22,-47.42,0,0,2.68,1546957039
311,Tigil,RU,57.8,-2.29,70,56,2.57,1546957039
312,Namatanai,PG,-3.66,83.76,98,44,9.95,1546957039
313,Cayenne,GF,4.94,84.2,62,80,12.75,1546956000
314,Ylivieska,FI,64.07,24.31,100,64,2.57,1546957040
315,Caceres,CO,5.53,70.8,93,44,2.68,1546956746
316,Zhigansk,RU,66.77,-37.39,0,0,2.68,1546957040
317,Muroto,JP,33.37,42.85,100,0,10.85,1546957040
318,Cabedelo,BR,-6.97,86.0,62,75,16.11,1546956000
319,Chunoyar,RU,57.45,17.38,66,76,9.06,1546957040
320,Kisanga,CD,-11.72,68.32,97,76,7.72,1546957041
321,Shubarkuduk,KZ,49.15,-0.76,66,0,6.26,1546957041
322,Komsomolskiy,RU,67.55,-22.67,32,12,2.8,1546957041
323,Berlevag,NO,70.86,23.68,73,0,8.05,1546955400
324,Wilmington,US,39.75,36.01,100,90,7.72,1546955700
325,La Romana,DO,18.43,79.57,74,20,17.22,1546956000
326,Wenling,CN,28.38,46.0,100,76,16.44,1546957042
327,Half Moon Bay,US,37.46,54.36,93,90,8.05,1546956000
328,Salinopolis,BR,-0.61,80.88,100,100,9.73,1546957042
329,Cerritos,US,33.86,50.7,100,1,6.38,1546955880
330,Nouadhibou,MR,20.93,75.2,23,0,9.17,1546952400
331,Shumskiy,RU,54.83,23.86,55,0,8.28,1546957043
332,Weligama,LK,5.97,79.08,93,20,5.48,1546956823
333,Kholtoson,RU,50.3,-17.45,21,24,3.69,1546957043
334,Kleive,NO,62.8,34.74,100,75,2.24,1546955400
335,Quatre Cocos,MU,-20.21,82.4,83,75,12.75,1546956000
336,Biltine,TD,14.53,87.09,22,20,8.16,1546957044
337,Deputatskiy,RU,69.3,-36.31,0,48,2.8,1546957045
338,Port-Cartier,CA,50.03,1.4,54,75,10.29,1546952400
339,Takoradi,GH,4.89,84.7,95,36,7.38,1546957045
340,Kerchevskiy,RU,59.95,18.37,78,80,10.74,1546957045
341,Sinnamary,GF,5.38,78.22,98,32,8.28,1546957045
342,Alto Piquiri,BR,-24.02,83.49,82,80,12.75,1546957046
343,Tunduma,ZM,-9.31,67.2,99,80,5.59,1546957046
344,Port Hedland,AU,-20.31,84.2,79,40,4.7,1546954200
345,Laguna,MX,27.52,50.0,100,75,2.13,1546955100
346,Maragogi,BR,-9.01,78.36,98,76,5.59,1546957047
347,Ankang,CN,32.73,29.53,73,92,3.36,1546957047
348,Jiuquan,CN,39.73,-10.12,41,8,1.9,1546957048
349,Ewa Beach,US,21.32,67.39,87,1,3.36,1546955820
350,Capalna,RO,46.73,24.8,73,90,11.41,1546954200
351,Kalmunai,LK,7.42,75.39,87,0,8.84,1546957048
352,Waingapu,ID,-9.65,75.61,100,80,2.68,1546957049
353,Plettenberg Bay,ZA,-34.05,67.15,100,80,7.27,1546957049
354,Coutances,FR,49.05,48.83,76,20,10.29,1546955400
355,Beringovskiy,RU,63.05,22.29,87,80,31.21,1546957049
356,Camocim,BR,-2.9,79.66,90,92,7.16,1546957049
357,Solnechnyy,RU,50.72,-3.77,63,20,8.05,1546957050
358,Prainha,BR,-1.8,83.8,76,48,3.91,1546957050
359,Thaba Nchu,ZA,-29.2,69.8,68,40,17.22,1546956000
360,Egvekinot,RU,66.32,-42.43,0,0,4.14,1546957051
361,Mayya,RU,61.74,-49.01,56,12,2.24,1546956000
362,Obo,CF,5.39,83.98,56,0,4.92,1546957051
363,Douglas,US,58.28,21.34,88,90,5.93,1546955580
364,Santa Barbara,US,34.42,49.57,92,40,3.36,1546955820
365,Oistins,BB,13.07,82.4,58,20,18.34,1546956000
366,Doka,SD,13.52,90.15,25,12,11.18,1546957052
367,Fort Abbas,PK,29.19,52.98,81,0,2.57,1546957053
368,Portel,PT,38.31,59.0,41,0,4.7,1546952400
369,Yangambi,CD,0.77,85.2,62,0,2.01,1546957053
370,Lumphat,KH,13.5,78.31,56,0,5.93,1546957054
371,Adana,TR,37.0,43.7,87,75,8.05,1546955400
372,Santa Marta,CO,11.24,80.6,78,40,4.7,1546956000
373,Pont-Rouge,CA,46.76,15.8,92,90,16.11,1546955100
374,Ola,RU,59.58,13.2,100,0,22.37,1546957055
375,Surt,LY,31.21,57.97,100,56,10.4,1546957056
376,Riyadh,SA,24.63,69.8,37,20,8.05,1546956000
377,Balkhash,KZ,46.84,19.95,94,88,2.57,1546957056
378,Lake Forest,US,42.26,37.63,88,75,5.82,1546956120
379,Grand Gaube,MU,-20.01,82.4,83,75,12.75,1546956000
380,Fukue,JP,35.03,45.7,66,75,19.46,1546956000
381,Burns Lake,CA,54.23,5.05,77,48,2.13,1546957057
382,Santa Maria,BR,-29.69,76.87,91,88,6.49,1546957058
383,Kampong Cham,KH,11.99,81.6,71,68,6.6,1546957058
384,Imbituba,BR,-28.24,84.2,62,40,9.17,1546956000
385,Naze,NG,5.43,91.4,24,0,9.17,1546952400
386,Chara,GR,39.42,31.53,43,20,10.29,1546955400
387,Zhaotong,CN,27.34,29.71,99,92,2.91,1546957059
388,Boromo,BF,11.74,89.65,21,8,7.27,1546957059
389,Boende,CD,-0.28,84.21,73,24,2.13,1546957060
390,Merauke,ID,-8.49,79.89,98,44,4.92,1546957060
391,Harker Heights,US,31.08,48.85,100,1,3.36,1546955760
392,Terney,RU,45.05,12.93,100,0,20.58,1546957060
393,Saint George,GR,39.45,31.6,43,20,10.29,1546955400
394,Vanavara,RU,60.35,8.47,70,68,9.17,1546957060
395,Lorengau,PG,-2.02,84.16,97,76,11.3,1546957061
396,Winnemucca,US,40.97,32.0,85,20,12.75,1546952160
397,Marzuq,YE,14.4,68.19,24,8,3.13,1546957061
398,Sarangani,PH,5.4,82.27,96,12,22.59,1546957061
399,Gravdal,NO,59.79,41.0,75,20,20.8,1546955400
400,Oktyabrskiy,RU,55.61,15.82,85,20,6.71,1546956000
401,Ancud,CL,-41.87,53.6,66,40,12.75,1546956000
402,Riverton,US,43.02,10.04,57,1,4.7,1546951980
403,Sisimiut,GL,66.94,6.85,100,80,1.9,1546957063
404,Bertoua,CM,4.58,89.43,35,12,7.38,1546957063
405,Xining,CN,36.62,-1.48,51,0,2.13,1546957063
406,Tiznit,MA,29.7,67.11,54,48,3.36,1546957063
407,Guozhen,CN,29.3,37.86,100,92,5.26,1546957064
408,Sabang,PH,13.72,77.55,92,76,11.74,1546957064
409,Igrim,RU,63.19,2.08,87,68,2.57,1546957064
410,Sandusky,US,41.45,49.57,93,90,11.41,1546955700
411,Birjand,IR,32.86,48.2,29,75,6.93,1546956000
412,Tual,ID,-5.67,83.62,100,0,12.3,1546957065
413,Ketchikan,US,55.34,32.65,86,75,10.29,1546956480
414,Venice,US,27.1,62.55,93,1,4.7,1546955580
415,Ambanja,MG,-13.68,82.4,83,75,9.17,1546956000
416,Marsh Harbour,BS,26.54,75.61,100,0,7.94,1546957066
417,Chitral,PK,35.85,6.31,83,20,1.34,1546957066
418,San Buenaventura,MX,27.06,55.4,43,40,5.82,1546954800
419,Mollendo,PE,-17.03,69.4,71,44,3.58,1546957066
420,Qaqortoq,GL,60.72,32.77,92,92,1.68,1546957067
421,Shelburne,CA,44.08,39.2,86,90,3.36,1546952400
422,Oranjemund,ZA,-28.55,63.73,92,0,10.18,1546957067
423,Jalu,LY,29.03,61.71,38,12,8.16,1546957068
424,Nyuksenitsa,RU,60.41,23.46,86,80,7.16,1546957068
425,Asyut,EG,27.18,62.6,51,0,13.87,1546952400
